34	0.000276
22	0.125
19	0.008831
20	0.098306
21	0.098306
19	0.052497
35	6.2E-05
34	0.000455
35	0.000102
22	0.022588
23	0.008831
22	0.052497
26	0.008831
19	0.098306
31	0.000168
29	0.005433
19	0.098306
27	0.005433
33	0.001233
21	0.005433
34	0.000276
18	0.125
24	0.035052
31	0.008831
32	0.005433
26	0.003324
39	3.7E-05
22	0.035052
42	1E-06
20	0.008831
30	0.001233
20	0.074573
23	0.005433
32	0.001233
22	0.117502
34	0.000276
22	0.117502
26	0.000749
19	0.035052
24	0.052497
30	0.014227
33	0.000276
36	1.4E-05
20	0.035052
17	0.117502
28	0.014227
20	0.098306
25	0.003324
18	0.117502
24	0.022588
